NIR;T2-13;13-juil;13-oct;14-janv;14-avr;14-juil;14-oct;15-janv;15-avr;15-juil;15-oct;16-janv;16-avr;16-juil;16-oct;Orientation;CLI;EPCI;DELEGATION;zonage_3;Sexe Individu;age;Situation_familiale;Enfants_a_charge;Type_logement;QP;MDPH;Nb_enfants_charge_sens_PF
642;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;42;Personne seule;Non;Logement social;Non;Oui;0
643;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;42;Personne seule;Oui;Autre situation;Non;Non;3
644;PPAE;PPAE;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;PPAE;PPAE;PPAE;PPAE;Pas de contrat;PPAE;PPAE;Pas de contrat;Pas de contrat;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;42;Personne seule;Non;Autre situation;Oui;Non;
645;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;42;Couple;Oui;Autre situation;Non;Non;1
646;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;42; ; ;Autre situation;Non;Non;
647;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Social;ST HERBLAIN - Nord Loire;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;42;Personne seule;Non;Logement social;Oui;Oui;0
648;Pas de contrat;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;PPAE;Social;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;42;Personne seule;Non;Autre situation;Oui;Non;
649;PPAE;Pas de contrat;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Littorale;Feminin;42;Personne seule;Oui;Logement social;Non;Oui;
650;PPAE;PPAE;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;42;Personne seule;Non;Logement privé;Non;Non;0
651;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Social;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;42;Personne seule;Oui;Logement social;Oui;Non;
652;PPAE;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Littorale;Feminin;42;Personne seule;Oui;Logement social;Non;Non;
653;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;42;Personne seule;Non;Logement social;Oui;Oui;
654;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Emploi;NANTES CENTRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;42;Personne seule;Oui;Logement social;Non;Non;1
655;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Non renseigne;NANTES CENTRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;42;Personne seule;Oui;Logement privé;Non;Non;
656;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Social;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Littorale;Feminin;42;Personne seule;Oui;Autre situation;Non;Non;1
657;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;42;Personne seule;Oui;Autre situation;Oui;Non;
658;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;42;Couple;Oui;Logement social;Non;Non;3
659;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;CHATEAUBRIANT;CC ERDRE ET GESVRES;DELEGATION CHATEAUBRIANT;Espace rural;Feminin;42; ; ;Autre situation;Non;Non;
660;Pas de contrat;Contrat d’insertion;Contrat aidé;Contrat aidé;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Littorale;Feminin;41;Personne seule;Oui;Logement social;Non;Non;
661;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Droit clos refusé ou en attente;Contrat d’insertion;Pas de contrat;Pas de contrat;Social;NANTES CENTRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;41;Personne seule;Oui;Logement social;Non;Oui;
662;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Non renseigne;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;41;Personne seule;Oui;Autre situation;Non;Non;
663;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;PONTCHATEAU;CA CAP ATLANTIQUE;DELEGATION SAINT NAZAIRE;Littorale;Feminin;41;Personne seule;Oui;Logement privé;Non;Non;1
664;PPAE;PPAE;PPAE;Pas de contrat;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;PPAE;PPAE;PPAE;PPAE;PPAE;Emploi;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;41;Personne seule;Oui;Autre situation;Non;Non;
665;Pas de contrat;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Non renseigne;CHATEAUBRIANT;CC ERDRE ET GESVRES;DELEGATION CHATEAUBRIANT;Espace rural;Feminin;41;Personne seule;Oui;Logement social;Non;Non;1
666;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Emploi;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;41;Couple;Oui;Logement social;Non;Non;0
667;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;41;Couple;Oui;Autre situation;Non;Non;2
668;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Emploi;PAYS DE RETZ;CA PORNIC AGGLO PAYS DE RETZ;DELEGATION PAYS DE RETZ;Littorale;Feminin;41;Personne seule;Oui;Autre situation;Non;Non;1
669;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;CHATEAUBRIANT;CC DU PAYS DE REDON;DELEGATION CHATEAUBRIANT;Espace rural;Feminin;41;Personne seule;Oui;Logement social;Non;Oui;1
670;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Pas de contrat;Pas de contrat;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;41;Personne seule;Oui;Logement social;Non;Non;1
671;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;41;Couple;Oui;Autre situation;Non;Non;
672;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;41;Personne seule;Non;Logement social;Non;Oui;0
673;PPAE;PPAE;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;PPAE;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Emploi;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;41;Personne seule;Oui;Logement social;Oui;Oui;
674;Pas de contrat;Contrat d’insertion;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;PAYS DE RETZ;CA PORNIC AGGLO PAYS DE RETZ;DELEGATION PAYS DE RETZ;Littorale;Feminin;41;Personne seule;Oui;Logement social;Non;Non;2
675;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Pas de contrat;PPAE;PPAE;PPAE;Pas de contrat;PPAE;PPAE;Social;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;41;Personne seule;Oui;Logement privé;Non;Non;1
676;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;41;Personne seule;Oui;Autre situation;Oui;Non;
677;PPAE;PPAE;PPAE;PPAE;PPAE;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Pas de contrat;Contrat aidé;Pas de contrat;Droit clos refusé ou en attente;Emploi;CHATEAUBRIANT;CC CHATEAUBRIANT-DERVAL;DELEGATION CHATEAUBRIANT;Espace rural;Feminin;40;Personne seule;Oui;Logement social;Non;Non;2
678;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Social;PAYS DE RETZ;CA PORNIC AGGLO PAYS DE RETZ;DELEGATION PAYS DE RETZ;Littorale;Feminin;40;Personne seule;Oui;Propriétaire ou accédant;Non;Non;2
679;Pas de contrat;Contrat d’insertion;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Pas de contrat;Contrat aidé;Contrat aidé;Contrat aidé;Droit clos refusé ou en attente;Contrat aidé;Contrat aidé;Droit clos refusé ou en attente;Contrat aidé;Emploi;PAYS DE RETZ;CC SUD RETZ ATLANTIQUE;DELEGATION PAYS DE RETZ;Littorale;Feminin;40; ; ;Autre situation;Non;Oui;
680;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;PAYS D'ANCENIS;CC DU PAYS D'ANCENIS;DELEGATION ANCENIS;Espace rural;Feminin;40;Personne seule;Non;Logement privé;Non;Non;
681;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES CENTRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;40;Personne seule;Non;Logement privé;Non;Non;
682;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;40;Personne seule;Oui;Logement social;Non;Non;2
683;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;40;Personne seule;Oui;Autre situation;Non;Non;2
684;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Social;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;40;Personne seule;Oui;Autre situation;Non;Non;
685;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;40;Personne seule;Oui;Logement social;Oui;Oui;2
686;Pas de contrat;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Emploi;PONTCHATEAU;CC ESTUAIRE ET SILLON;DELEGATION SAINT NAZAIRE;Espace rural;Feminin;40;Personne seule;Oui;Autre situation;Non;Non;3
687;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Feminin;40;Couple;Oui;Logement social;Non;Non;3
688;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;PAYS D'ANCENIS;CC DU PAYS D'ANCENIS;DELEGATION ANCENIS;Espace rural;Feminin;40; ; ;Autre situation;Non;Non;
689;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Emploi;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Feminin;39;Personne seule;Oui;Logement social;Oui;Non;1
